Merchant_ID,Merchant_Name,Industry,Merchant_Segment,Location_Region,Subscription_Start_Date,Months_Since_Subscription,POS_Terminal_Model,Avg_Monthly_Transaction_Volume,Avg_Monthly_Transaction_Value,Avg_Transaction_Value,Transaction_Frequency_Score,Uptime_Percentage,Customer_Support_Tickets_Monthly,Avg_Resolution_Time_Tickets_Days,Feature_Adoption_Score,Payment_Success_Rate,Payment_Failure_Rate,Dispute_Rate,Technical_Issues_Reported,Feedback_Score_Monthly,Days_Since_Last_Transaction,POS_Cost,Monthly_Rental_Fee,MDR_Rate,LTV,Churned,Churn_Reason
M-1000,Upstox,Retail,Medium,South,22-09-2023,3,Soundbox,701,354706.9706,506.0013845,0.411160966,98.29629138,2,5.70571463,0.666866636,98.09891569,1.901084315,1.425795148,3,2.978543762,71,2293,200,2,21282.41823,0,None
M-1001,Subway,Education,Medium,East,29-11-2023,1,Pin on Mobile,901,267958.8399,297.4015981,0.594473855,96.68995695,5,3.327070598,0.101076492,97.21728353,2.78271647,4.575383826,0,4.026375736,179,0,0,1.2,4019.382599,0,None
M-1002,Zomato,Food & Beverage,Small,South,11-03-2023,9,Android Smart Mini POS,786,492834.5398,627.0159539,0.666984861,96.14508451,8,3.937865271,0.390875849,90.80737156,9.192628437,3.127782199,0,2.894741042,79,14224,400,1.8,66532.66287,0,None
M-1003,FedEx,Education,Medium,Central,20-08-2023,4,Pin on Mobile,492,315751.8508,641.7720544,0.557661248,96.35914149,0,3.330563327,0.820675383,94.06047603,5.939523967,3.018222623,0,4.582080482,141,0,0,1.2,18945.11105,0,None
M-1004,Subway (Branch 2),Hospitality,Medium,South,14-06-2023,6,Android Smart POS,393,133362.8858,339.3457653,0.100494759,98.61709046,6,5.236733671,0.986362902,94.69821076,5.301789241,4.132074644,4,3.884084157,264,19824,500,2,16003.54629,1,High Costs
M-1005,Decathlon,Hospitality,Small,South,22-02-2023,10,Dynamic Soundbox,541,515307.4992,952.5092406,0.201704557,96.51788518,2,6.487990645,0.575112567,96.64372708,3.356272924,2.450596181,0,1.115431653,83,3827,250,2,103061.4998,0,None
M-1006,Teach for India,Food & Beverage,Large,West,05-01-2023,12,Android Smart POS,855,318286.0808,372.264422,0.721909574,98.97226229,5,3.47138487,0.746419233,93.63626955,6.363730447,3.391753147,0,1.662480238,319,19824,500,1.8,57291.49455,1,Technical Issues
M-1007,Amazon,Retail,Medium,South,25-06-2023,6,Dynamic Soundbox,148,138178.1979,933.6364721,0.394604952,95.88123779,3,2.743901976,0.233579083,96.6238604,3.376139601,0.039224606,0,3.156922109,307,3827,250,2,16581.38374,1,Better Competitor
M-1008,Netmeds,Healthcare,Medium,North,19-06-2023,6,Android Smart POS,812,731470.9533,900.8262972,0.435090927,97.62336668,2,6.59069796,0.107498637,97.76069295,2.239307047,0.796537411,0,3.411790523,254,19824,500,1.5,131664.7716,1,High Costs
M-1009,Decathlon (Branch 2),Healthcare,Medium,North,06-10-2023,2,mPos,482,321154.4257,666.295489,0.051662176,96.65094169,2,5.579848463,0.745467038,92.21244419,7.787555806,3.6441109,4,3.991106553,70,5377,300,1.5,19269.26554,0,None
M-1010,Titan,Food & Beverage,Medium,West,07-01-2023,11,Android Smart POS,437,218064.1958,499.0027363,0.84606642,98.02729487,6,5.509698362,0.214000049,96.44840877,3.55159123,1.138052893,2,3.782557032,227,19824,500,1.8,35980.5923,1,None
M-1011,Biitcode,E-commerce,Medium,South,18-01-2023,11,mPos,553,382708.4456,692.058672,0.150792816,99.09615064,0,5.527139845,0.721629636,91.26796609,8.732033915,4.385136356,1,1.723892256,231,5377,300,2.2,105244.8225,1,Low Usage
M-1012,Levi's,Entertainment,Small,Central,07-12-2023,0,Android Smart POS,526,276349.503,525.3792832,0.31652815,98.13801212,3,3.619687373,0.0924211,98.24355423,1.756445765,3.892465497,2,1.333510252,203,19824,500,1.8,0,1,Low Usage
M-1013,Myntra,Education,Medium,East,23-03-2023,9,Android Smart Mini POS,362,234654.2139,648.2160605,0.084676155,99.42835428,5,6.557133529,0.81145303,97.45684718,2.543152817,2.848539253,3,2.224236793,202,14224,400,1.2,31678.31888,1,None
M-1014,ITC,Hospitality,Small,East,04-09-2023,3,Soundbox,727,543759.2128,747.9493986,0.963775182,99.56113398,0,4.420761849,0.734150056,98.55784984,1.442150158,0.417359723,5,2.468299803,41,2293,200,2,32625.55277,0,None
M-1015,My Operator,Food & Beverage,Medium,North,08-12-2023,0,Android Smart POS,573,351302.3204,613.0930548,0.094770892,96.57578249,6,5.81167792,0.726818641,97.13981562,2.860184382,3.354911706,2,3.679333355,284,19824,500,1.8,0,1,Technical Issues
M-1016,Biitcode (Branch 2),Education,Medium,East,08-01-2023,11,Android Smart Mini POS,368,117976.9707,320.5895944,0.620559195,97.057361,1,4.679700081,0.761674905,94.91132714,5.088672856,3.138151775,1,2.436655755,70,14224,400,1.2,19466.20017,0,None
M-1017,Teach for India (Branch 2),Hospitality,Small,West,05-05-2023,8,Android Smart POS,574,384161.8527,669.2715204,0.613039256,99.02075092,1,2.190432184,0.732619821,95.52703639,4.47296361,1.031694393,0,1.580261579,245,19824,500,2,61465.89644,1,Technical Issues
M-1018,Haldiram's,Entertainment,Large,West,19-12-2023,0,Android Smart POS,555,465760.6049,839.2082971,0.036254895,99.82168894,0,3.729439617,0.359231141,92.63451994,7.365480059,0.871783538,3,4.295190462,170,19824,500,1.8,0,0,None
M-1019,Flipkart,Entertainment,Small,South,22-03-2023,9,Android Smart Mini POS,478,241565.8348,505.3678553,0.37483057,96.19660192,2,5.465330037,0.765068574,91.42700371,8.572996285,2.963861497,0,4.584791193,122,14224,400,1.8,39133.66524,0,None
M-1020,Airtel,Education,Large,East,17-11-2023,1,Android Smart Mini POS,1000,429882.9294,429.8829294,0.592486405,96.45915666,3,1.332944326,0.00252755,90.91035952,9.089640479,3.961253501,1,3.050735814,223,14224,400,1.2,6448.243941,1,Technical Issues
M-1021,Qshala,Education,Small,Central,24-02-2023,10,Android Smart Mini POS,602,385776.6995,640.8250821,0.144654902,97.99495022,2,3.11485265,0.17353692,93.35974491,6.640255089,2.087614031,1,2.202364491,66,14224,400,1.2,57866.50492,0,None
M-1022,Netmeds (Branch 2),Food & Beverage,Medium,Central,27-11-2023,1,Android Smart Mini POS,634,613569.8263,967.7757513,0.458425874,97.56249556,1,2.438870023,0.891867984,98.74056965,1.259430354,3.931484425,3,1.615400221,158,14224,400,1.8,9203.547395,0,None
M-1023,Tata Motors,Education,Small,North,19-12-2023,0,Pin on Mobile,510,136232.2371,267.1220335,0.516653489,96.10278589,7,4.165087119,0.334215293,91.87099519,8.129004813,4.001624297,1,3.498072061,346,0,0,1.2,0,1,Better Competitor
M-1024,Raymond,Food & Beverage,Medium,North,06-09-2023,3,Soundbox,688,650357.0957,945.2864764,0.972578418,98.82747255,6,1.83821457,0.853111824,93.59964066,6.40035934,3.649556569,4,2.702022931,26,2293,200,1.8,29266.06931,0,None
M-1025,Tata Motors (Branch 2),Hospitality,Medium,Central,23-12-2023,0,Dynamic Soundbox,524,474529.198,905.5900726,0.371174121,95.36923899,4,4.739545058,0.666305323,94.91862338,5.081376622,1.026287649,3,4.0205722,97,3827,250,2,0,0,None
M-1026,Sqraeboat,Hospitality,Small,Central,28-06-2023,6,Dynamic Soundbox,561,544277.975,970.1924688,0.071886123,96.31479774,6,1.481246247,0.751079194,91.2675032,8.732496798,0.49943159,0,3.860405355,111,3827,250,2,65313.357,0,None
M-1027,Raymond (Branch 2),E-commerce,Medium,Central,11-10-2023,2,mPos,783,391525.4934,500.0325586,0.106925602,97.41961459,9,5.878721636,0.786309553,98.01094926,1.989050739,2.763737238,5,4.870588371,137,5377,300,2.2,19576.27467,0,None
M-1028,Indian Terrain,Hospitality,Small,West,01-06-2023,7,Dynamic Soundbox,783,309399.358,395.146051,0.838846016,96.84182598,3,4.193019765,0.941960488,96.13130067,3.868699328,3.228020564,2,1.994054837,43,3827,250,2,43315.91012,0,None
M-1029,Godrej,Healthcare,Medium,North,23-11-2023,1,mPos,545,265248.2877,486.6941059,0.440536648,97.54531856,8,3.712613235,0.817480935,94.80348595,5.196514048,1.692402552,3,3.631803312,341,5377,300,1.5,7957.448631,1,None
M-1030,Titan (Branch 2),Retail,Large,East,14-11-2023,1,Android Smart POS,772,194496.8296,251.9388984,0.530193555,99.41717642,0,5.232596174,0.797076807,96.13508084,3.864919165,1.032945561,3,1.75713146,204,19824,500,2,3889.936591,1,Better Competitor
M-1031,Raymond (Branch 3),Retail,Large,Central,18-07-2023,5,Android Smart POS,848,471068.9946,555.5058898,0.849422269,98.01763508,3,5.240166282,0.973260743,98.03824847,1.961751535,1.712164042,0,4.992791517,111,19824,500,2,47106.89946,0,None
M-1032,Pepperfry,Education,Medium,Central,20-03-2023,9,Pin on Mobile,599,185146.4213,309.0925231,0.589380938,97.78203,1,6.826031102,0.883386487,98.50998009,1.490019906,0.568011847,4,1.643413993,276,0,0,1.2,24994.76688,1,Better Competitor
M-1033,Zomato (Branch 2),Education,Medium,North,19-02-2023,10,Android Smart Mini POS,668,152389.8852,228.1285706,0.168407949,98.56649375,5,1.559560721,0.920886158,93.09564552,6.904354478,4.540660283,0,4.779502568,312,14224,400,1.2,22858.48278,1,Technical Issues
M-1034,Reliance,Food & Beverage,Small,South,24-02-2023,10,Android Smart Mini POS,412,381905.1358,926.954213,0.518407545,95.36722566,4,1.66166037,0.383509024,98.46210774,1.537892264,3.464545758,1,1.172854798,358,14224,400,1.8,57285.77037,1,High Costs
M-1035,Urban Ladder,Retail,Large,West,03-12-2023,0,Dynamic Soundbox,686,475208.5178,692.7237869,0.789668463,98.97874105,3,6.260998174,0.819517605,95.55857443,4.441425566,4.973495796,0,3.940735774,31,3827,250,2,0,0,None
M-1036,Pepperfry (Branch 2),Hospitality,Large,Central,12-05-2023,7,Android Smart POS,767,264492.5012,344.8402884,0.959007087,98.12982236,7,6.082281513,0.540065715,93.72849163,6.271508372,4.885914533,4,4.813169585,109,19824,500,2,37028.95017,0,None
M-1037,Flipkart (Branch 2),Food & Beverage,Large,North,07-01-2023,11,Android Smart POS,546,384991.0129,705.1117453,0.242098957,97.1196139,6,1.675327044,0.679740558,92.34254877,7.657451226,2.377887049,1,2.197651121,136,19824,500,1.8,63523.51713,0,None
M-1038,More,E-commerce,Small,West,24-11-2023,1,mPos,520,327531.2871,629.8678599,0.444144202,98.10875571,4,5.966076443,0.427692909,95.77007519,4.229924815,4.767861119,1,3.578867351,270,5377,300,2.2,8188.282178,1,Better Competitor
M-1039,ITC (Branch 2),Education,Medium,East,29-12-2023,0,Android Smart Mini POS,735,637640.6334,867.5382767,0.150214895,98.22774924,0,1.84193665,0.371192236,96.34518031,3.654819686,1.92475442,3,1.984376544,276,14224,400,1.2,0,1,Support Issues
